DataName;UsedInMxd;CountUsed
FW.ReferenceMarker;Yes;81
FW.NYGasCompanies;Yes;1
FW.FederalRecreation;Yes;1
FW.PostalInventory;No;0
FW.ACEPorts;Yes;1
FW.County;Yes;2
FW.LinearHydrography;Yes;1
FW.VillageShoreline;No;0
FW.DOTRegionsShoreline;Yes;5
FW.AreaHydrography;Yes;1
FW.FHWAUrbanAreas2000;No;0
FW.BusStation;Yes;3
FW.Customs;Yes;1
FW.CityTax;No;0
FW.PublicSchool;Yes;1
FW.CityTown;Yes;2
FW.StateCampground;No;0
FW.GovernmentOffice;No;0
FW.Hydrography3m;No;0
FW.ThruwayRamp;No;0
FW.InterstateMilepost;No;0
FW.GeneralHydrography;No;0
FW.CityTownShoreline;Yes;1
FW.DOTFacility;Yes;4
FW.Locks;Yes;1
FW.Bridge;Yes;4
FW.Roads;No;0
FW.MajorHighway;Yes;1
FW.ThruwayThruway;No;0
FW.StreetsSimpleNew;No;0
FW.RefMkrRoute;No;0
FW.DOTTowers;Yes;1
FW.ThruwayService;No;0
FW.Institution;No;0
FW.CollegeUniversity;No;0
FW.State;No;0
FW.BoatLaunch;No;0
FW.DOTRegions;Yes;12
FW.PlaceLocation;No;0
FW.StreetsSimple;Yes;1
FW.StateNonRecreation;No;0
FW.PassengerStations;No;0
FW.FreightStations;No;0
FW.Maneuver;No;0
FW.MilepointRoute;Yes;2
FW.NursingHome;No;0
FW.StateRecreation;Yes;1
FW.DOTResidencies;Yes;2
FW.Village;Yes;3
FW.FederalNonRecreation;Yes;1
FW.Junctions;No;0
FW.InnerCityTax;No;0
FW.Fairground;No;0
FW.CountyShoreline;Yes;6
FW.PointOfInterest;No;0
FW.BikeRoutes;Yes;1
GIS.R7_Traffic_Control_Devices;Yes;1
GIS.BDMS_BRIDGE_INV_DATA;Yes;4
GIS.R7_2009_Parcel_Centroids;No;0
GIS.UTICA125;No;0
GIS.LargeCulverts_old;No;0
GIS.SP_Truck_Access_Routes;Yes;1
GIS.PoliceHeliports;No;0
GISLINK.MV_GIS_STKPL_STATUS;No;0
GIS.R7_Linear_Contracts;Yes;1
GIS.POUGHKEEPSIE125;No;0
GIS.SignalizedIntersect__AT;No;0
GIS.UnbuiltArterial;Yes;4
GIS.ClosedAviation;No;0
GIS.PublicAirports;No;0
GIS.R1C_Point_Contracts;Yes;1
GISLINK.MV_GIS_PSS_HIGHWAY_QA;No;0
GIS.Specialty_PIL;Yes;3
GIS.NYVertical;No;0
GIS.FloorPlan_Features;Yes;1
GIS.SMALL_CULVERTS;Yes;5
GIS.WESTLONG125;No;0
GIS.RDV_QuadIndex;Yes;1
GIS.IdealSites;Yes;1
GIS.GIS_R7_Adopt_A_Highway_New;No;0
GIS.R7_Speed_Limit;Yes;1
GIS.R7_Linear_Contract;No;0
GIS.NonStateTouringRoutes_09162015;Yes;1
GIS.BridgePermitData;No;0
GIS.EmergencyEventPhotos;Yes;2
GIS.Counties;No;0
GIS.TRAVELRESTRICTIONS1;Yes;2
GIS.AD_Upstate_Accident_Events;No;0
GIS.RD_Railroad_Removed_Search;Yes;1
GISLINK.MV_BORING_PROJ_GIS_QA;No;0
GISLINK.MV_GIS_PSS_BRIDGE_QA;No;0
GIS.R7_2008_HAL;No;0
GIS.AADT_Current;Yes;1
GIS.DOT_Stockpile_Facilities_1;No;0
GIS.CPU_PavementNeedsWithDesc;Yes;9
GIS.gnisFeature;No;0
GIS.R7_Bridge_Inspection;Yes;1
GIS.CPU_BRIDGE_INV_CWS;Yes;3
GISLINK.MV_GIS_SCIIS_DATA_QA;No;0
GIS.NonStateTouringRoute;Yes;3
GISLINK.MV_GIS_MEXIS_BIKING_QA;No;0
GIS.RD_Freight_Stations;Yes;2
GIS.NYWORKS_Highway_PTS;No;0
GIS.AD_Upstate_HAL_2009;No;0
GIS.STOCKPILE_STATUS;Yes;28
GISLINK.MV_WTA_WINTER_VIEW_QA;No;0
GIS.CPU_CARDS_Status;Yes;1
GIS.RegionalEconomicDevelopment;No;0
GISLINK.MV_CAPITAL_PROJECTS_HIGHWAY_QA;No;0
GISLINK.MV_CAPITAL_PROJECTS_BRIDGE;No;0
GIS.R1_SH_Number;Yes;1
GIS.FederalAidEligibleRoads;Yes;3
GISLINK.MV_BDIS_LARGECULVERTS;No;0
GIS.AD_NYSP_Troops;No;0
GIS.PIL;Yes;4
GIS.RIS_LINEAR_FEATURES;Yes;51
GIS.MV_BDIS_BRIDGES_TEST;No;0
GIS.DOT_Facility;Yes;4
GIS.Short_Counts;Yes;1
GIS.NYPLAN;No;0
GIS.LRSN_Milepoint;No;0
GIS.Floorplan_Conf_Rooms;Yes;2
GIS.ActiveHighwayProjectsWM;Yes;2
GIS.VersionTenThreeOne;No;0
GIS.CPU_CARD_FxdObjROR_Count_Rate;No;0
GISLINK.MV_SOS_SUBRES4GIS;No;0
GIS.BORING_LOCATIONS_UNMAPPABLE;No;0
GIS.shield_pnts_county;No;0
GIS.Interchanges;No;0
GIS.BORING_TABLE;No;0
GIS.R7_Truck_Access_Routes;No;0
GIS.Business;Yes;3
GIS.R7_2008_PIL;No;0
GIS.PSS_BRIDGE_TABLE;No;0
GIS.R7_2008_PII;No;0
GIS.University;Yes;3
GISLINK.MV_BDIS_BRIDGES;No;0
GIS.StrV_LARGE_CULVERTS;Yes;2
GIS.ActiveRegionwideProjectsWM;No;0
GIS.StatewideParcels2015;No;0
GIS.IdealSitesBuffer;Yes;1
GIS.HARN2002;No;0
GIS.CPU_Culvert_Impacts;Yes;3
GIS.SP_ZONES;No;0
GIS.CPU_CARD_HeadOn_Count_Rate;Yes;3
GIS.CPU_Bridge_CurrentWorkCosts;No;0
GIS.MilitaryHeliports;No;0
GIS.BikeRoutes_NotClipped_BU;No;0
GIS.WaiverBridges;Yes;1
GIS.SAMPLES;No;0
GISLINK.MV_GIS_MEXIS_BIKING;No;0
GIS.MajorBridgeProjects;No;0
GIS.SP_Pavement_Report_2008;No;0
GIS.SMALL_CULVERTS_QA;No;0
GISLINK.MV_BORING_PROJ_GIS;No;0
GIS.StreetSegment;No;0
GISLINK.MV_GIS_BRIDGE_PERMIT_DATA_QA;No;0
GIS.BDIS_BRIDGES;Yes;21
GISLINK.MV_GIS_STKPL_STATUS_RGNL;No;0
GIS.PMI_Orthos;Yes;1
GIS.ALTSTREETNAME_TBL;No;0
GISLINK.MV_BORING_SAMP_GIS_QA;No;0
GISLINK.MV_GIS_STKPL_STATUS_STWD;No;0
GIS.RIS_POINT_FEATURES_TABLE;No;0
GIS.UncontrolledCrosswalks;Yes;1
GIS.R7_Municipal_Snow_Routes;Yes;1
GISLINK.MV_GIS_LCIS_CLVRT_DATA;No;0
GIS.FunctionalClass;No;0
GIS.ROCHESTER125;No;0
GIS.R7_State_Snow_Routes;Yes;1
GIS.Jeff_drop_inlets;Yes;1
GISLINK.MV_GIS_STKPL_STATUS_RGNL_QA;No;0
GIS.PSS_BRIDGE_PROJECTS;Yes;6
GIS.ABP_DBB;No;0
GISLINK.MV_CAPITAL_PROJECTS_LOCATED;No;0
GIS.StrV_LARGE_CULVERTS_QA;No;0
GIS.GIS_r7_2010_hal;No;0
GIS.HOOCS_Restrictions;No;0
GIS.nonattainment_intersections;No;0
GIS.CPU_AirportData;Yes;3
GIS.SMALL_CULVERT_TABLE_QA;No;0
GIS.R1C_Linear_Contracts;Yes;1
GIS.ABP_Bridges;No;0
GIS.Valuation_Maps;Yes;1
GIS.Villages;No;0
GIS.RD_Railroad_Removed;Yes;2
GIS.ABP_DB;No;0
GIS.DOT_Facilities;No;0
GIS.SCFP_Bridge_Projects;No;0
GIS.SV_BIKEROUTES;Yes;3
GIS.NYCOrderHorizontal;No;0
GIS.NECORS;No;0
GIS.PSS_HIGHWAY_PROJECTS;Yes;6
GIS.shield_pnts;No;0
GIS.Bridge;No;0
GIS.AD_Downstate_HAL_2009;No;0
GIS.FloorPlan_Cubes_Backup;No;0
GIS.PSS_HIGHWAY_PROJECTS_UM;No;0
GISLINK.MV_GIS_INV_DATA_QA;No;0
GISLINK.MV_WTA_WINTER_VIEW;No;0
GIS.SV_STOCKPILE_STATUS_QA;Yes;7
GIS.NYStreets;No;0
GIS.SMALL_CULVERT_TABLE;No;0
GIS.CITYTOWN;No;0
GIS.RailBridges;No;0
GIS.r7_2012_hal;No;0
GIS.SV_BDIS_BRIDGES;No;0
GIS.CPU_Bridges_Impact;Yes;3
GIS.DOT_Stockpile_Facilities;No;0
GIS.SV_STOCKPILE_STATUS;No;0
GIS.Rail_Trail;No;0
GISLINK.RDS_AR_SNAPSHOT;No;0
GIS.CPU_NHSPlus;Yes;3
GIS.SV_STKPL_STATUS_QA;No;0
GIS.SV_BDIS_LARGECULVERTS;No;0
GIS.InactiveAviation;No;0
GIS.MajorShoppingCenter;Yes;3
GIS.RD_School_District_Boundaries;Yes;2
GIS.R7_Tax_Parcels_Agencies;Yes;1
GIS.SeaplaneBases;No;0
GIS.Scour_Critical;No;0
GIS.AbandonedAviation;No;0
GIS.RIS_Statewide_SH;Yes;1
GISLINK.MV_GIS_PSS_HIGHWAY;No;0
GIS.CPU_Sidewalks;Yes;3
GIS.SV_STKPL_STATUS;Yes;7
GIS.ModularHomeRoutes;Yes;4
GIS.Grade_Crossings;Yes;1
GISLINK.RDS_AR_SNAPSHOT_QA;No;0
GISLINK.MV_BOR_BORING_GIS_QA;No;0
GIS.gnisPlace;No;0
GISLINK.MV_DIRECTORY_QA;No;0
GIS.CPU_Roads_Impact;Yes;3
GIS.MajorHighwayProjectsPts;No;0
GISLINK.MV_GIS_BIKING_FACILITIES_QA;No;0
GIS.BikeFacilities;Yes;32
GISLINK.MV_BOR_BORING_GIS;No;0
GIS.nyhyd3m_water;No;0
GISLINK.MV_GIS_PSS_BRIDGE;No;0
GIS.NEStates;No;0
GIS.StrV_Region_Residency_County;Yes;3
GIS.FloorPlan_Cubes;Yes;6
GISLINK.MV_BORING_SAMP_GIS;No;0
GIS.R7_shlimits;Yes;1
GIS.NYC125;No;0
GIS.ThroughRoutes;No;0
GIS.CARSRoadwayFeaturesOct2009;No;0
GIS.TruckAccess;No;0
GIS.NYWORKS_Highway;No;0
GIS.R7_SH_Tick_Mark;Yes;1
GIS.ActiveBridgeProjectsWM;Yes;2
GIS.ActiveLocatedProjectsWM;Yes;2
GIS.RD_Passenger_Stations;Yes;5
GIS.RefMkr;No;0
GIS.R7_Tax_Parcels_Agencies_1;No;0
GIS.Floorplan_Outline;Yes;2
GIS.RD_Yards;Yes;2
GIS.PSS_HIGHWAY_TABLE;No;0
GIS.RIS_POINT_FEATURES;Yes;5
GIS.R7_2010_Parcel_Centroids;No;0
GIS.CPU_RoadwayInventory;No;0
GIS.NEW_ADDRESS_LOCATOR_LOX;No;0
GIS.NYSDOTCORS;No;0
GISLINK.MV_GIS_LCIS_CLVR_DATA;No;0
GIS.gnisHydro;No;0
GISLINK.MV_GIS_BIKING_FACILITIES;No;0
GIS.ActiveHighwayProjectsPtsWM;Yes;1
GIS.R7_Area_Speed_Zones;Yes;1
GIS.R7_2007_Parcel_Centroids;No;0
GIS.R7_Overheadsigns;Yes;1
GIS.NYWORKS_Bridges;No;0
GIS.RoadwayInventory;Yes;44
GIS.HwyWidthRestrictions;No;0
GIS.PrivateAirports;No;0
GIS.BikeRoutes_export_from_SV;Yes;1
GIS.R7_2010_Hal;No;0
GIS.AD_Downstate_HAL_Events;No;0
GIS.PMI_Mapping;Yes;1
GIS.ReportingLayer;No;0
GIS.OffSystemCounts;No;0
GIS.PSS_UNMAPPABLE;No;0
GIS.FloorPlan_Street_Ave_Pod;Yes;1
GIS.r7_2010_pii;No;0
GIS.R7_Adopt_A_Highway_New;No;0
GISLINK.MV_SOS_SUBRES4GIS_QA;No;0
GIS.BORING_LOCATIONS_WRONG_COUNTY;No;0
GIS.BikeRoutes_NotClipped;No;0
GIS.BDMS_BRIDGE_PERMIT_DATA;Yes;3
GIS.AD_Downstate_Accident_Events;No;0
GISLINK.MV_GIS_BRIDGE_PERMIT_DATA;No;0
GIS.CAPITAL125;No;0
GISLINK.MV_CAPITAL_PROJECTS_LOCATED_QA;No;0
GIS.AD_Upstate_HAL_Events;No;0
GIS.NYWORKS_CFA_Projects;No;0
GIS.r7_2012_pii;No;0
GIS.SV_GIS_BRIDGE_PERMIT_DATA_QA;No;0
GIS.DOT_Facilities_1;No;0
GIS.BUFFALO125;No;0
GIS.Parkways;Yes;3
GIS.CPU_BikeWalkPotential;Yes;3
GIS.RDV_Rail_Crossings;Yes;7
GIS.ROME125;No;0
GIS.ReportingLayer113009;No;0
GIS.SV_BRIDGE_INV_DATA;No;0
GIS.TruckAccess_old;No;0
GIS.MPOBoundaries;Yes;1
GIS.CPU_BRIDGE_INV_CW_BakS_1;No;0
GIS.Roads2003;No;0
GISLINK.MV_CAPITAL_PROJECTS_HIGHWAY;No;0
GIS.MiscellaneousAviation;No;0
GIS.LargeCulverts;No;0
GIS.Salt_Fuel_locations;Yes;3
GIS.CPU_Stwd_CARD_Elgbl_Segs;Yes;3
GIS.RIS_LINEAR_FEATURES_TABLE;No;0
GIS.PointsofEntry;Yes;1
GIS.SYRACUSE125;No;0
GIS.BikeRoutes_BU;No;0
GIS.CARSRoadwayPointsOct2009;No;0
GISLINK.MV_GIS_STKPL_STATUS_STWD_QA;No;0
GIS.R7_Adopt_A_Highway;Yes;1
GIS.BORING_LOCATIONS;No;0
GIS.SV_GIS_BRIDGE_PERMIT_DATA;Yes;1
GIS.StateHeliports;No;0
GIS.RD_Railroad_Search;Yes;2
GIS.Continuous_Count;Yes;1
GISLINK.MV_GIS_STKPL_STATUS_QA;No;0
GIS.Parkways_new;Yes;2
GIS.BikeRoutes;Yes;2
GIS.CPU_Flood_Watch_Bridge_List;Yes;3
GIS.PSS_HIGHWAY_PROJECTS_PRE;No;0
GIS.BINGHAMTON125;No;0
GIS.CulvertLocations;No;0
GIS.shield_pnts_state;No;0
GISLINK.MV_GIS_LCIS_CLVR_DATA_QA;No;0
GIS.PSS_BRIDGE_PROJECTS_UM;No;0
GIS.BPO_Availability_WGS;No;0
GISLINK.MV_GIS_SCIIS_DATA;No;0
GIS.SignalizedIntersections;Yes;1
GIS.CPU_Ramps;Yes;3
GIS.MajorHighwayProjects;No;0
GIS.LOCATIONPOINTS;No;0
GISLINK.MV_DIRECTORY;No;0
GIS.BW250;No;0
GISLINK.MV_GIS_INV_DATA;No;0
GISLINK.MV_CAPITAL_PROJECTS_BRIDGE_QA;No;0
GIS.PMI_Photos;Yes;1
GIS.FDRStructures;Yes;1
GIS.MedicalHeliports;No;0
GIS.SV_LARGECULVERTDATA;No;0
GIS.ScourCriticalFloodProne;Yes;3
GIS.RD_Rail_Bridges;Yes;2
GIS.CPU_BridgeFlags;No;0
GIS.CPU_PII;No;0
GISLINK.MV_SSA_STATUS;No;0
GIS.BDIS_LARGECULVERTS;Yes;3
GIS.SV_LARGECULVERTDATA_QA;No;0
GIS.LOWHUD125;No;0
RSDA.ROAD_STATUSfromDev;No;0
RSDA.RS_2011SEPT_IRENE_LEE;No;0
RSDA.DAMAGE_ASSESSMENTS_HISTORY;No;0
RSDA.DA_ARCHIVE;No;0
RSDA.DA_2011SEPT_IRENE_LEE;No;0
RSDA.ROAD_STATUS;Yes;5
RSDA.ROAD_STATUS_HISTORY;No;0
RSDA.RS_ARCHIVE;No;0
RSDA.ROAD_STATUS_2013;No;0
RSDA.DAMAGE_ASSESSMENTS;No;0
SPDES.Stormwater_Outfall;Yes;1
SPDES.Outfall;No;0
SPDES.Stormwater_Outfall_081812;No;0
